month,n_active_users
2020-08,3854198
2020-03,4120865
2022-08,4910404
2023-02,6399715
2024-07,7109097
2021-07,4285196
2022-03,4848976
2022-04,4895588
2021-01,4533632
2019-11,3738356
2023-10,5290098
2022-02,4251424
2020-02,3545985
2021-12,4820954
2024-08,6175256
2024-05,6131778
2022-09,4759309
2023-01,5510149
2021-05,3785282
2024-04,6335718
2020-01,3554350
2021-03,4349747
2024-01,6077262
2023-04,6706421
2023-12,5240121
2019-08,3721746
2020-04,4544874
2024-03,7007203
2022-05,4787087
2020-12,4395344
2022-01,4996977
2020-11,4221719
2022-06,4290450
2023-03,9586264
2023-07,5954694
2023-05,6513016
2020-09,4010894
2023-06,6325863
2024-06,6355266
2019-12,3714081
2024-02,5680291
2021-11,4658814
2021-10,1746478
2023-08,5623887
2022-07,4611472
2022-12,4361843
2021-08,3974035
2019-10,3733241
2020-06,4084906
2021-06,4187633
2021-04,4428757
2020-10,4105729
2023-11,5544615
2019-09,3640668
2021-09,4185559
2021-02,4119694
2022-10,4860476
2020-05,4645739
2020-07,4297438
2023-09,5121375
2022-11,4938866
2019-07,3991813
2024-09,5849112